date,equity,cash
2023-01-17,100505.0,100505.0
2023-01-18,100505.0,100505.0
2023-01-19,100505.0,100505.0
2023-01-20,100505.0,100505.0
2023-01-23,100505.0,100505.0
2023-01-24,100505.0,100505.0
2023-01-25,100504.0,87737.0
2023-01-26,100504.0,87737.0
2023-01-27,100504.0,87737.0
2023-01-30,100504.0,87737.0
2023-01-31,100504.0,87737.0
2023-02-01,100504.0,87737.0
2023-02-02,100504.0,87737.0
2023-02-03,100504.0,87737.0
2023-02-06,100504.0,87737.0
2023-02-07,100504.0,87737.0
2023-02-08,100504.0,87737.0
2023-02-09,100504.0,87737.0
2023-02-10,100504.0,87737.0
2023-02-13,100504.0,87737.0
2023-02-14,100504.0,87737.0
2023-02-15,100504.0,87737.0
2023-02-16,100504.0,87737.0
2023-02-17,100504.0,87737.0
2023-02-20,100504.0,87737.0
2023-02-21,100504.0,87737.0
2023-02-22,100504.0,87737.0
2023-02-23,100504.0,87737.0
2023-02-24,100504.0,87737.0
2023-02-27,100504.0,87737.0
2023-02-28,100504.0,87737.0
2023-03-01,100504.0,87737.0
2023-03-02,100504.0,87737.0
2023-03-03,100504.0,87737.0
2023-03-06,100504.0,87737.0
2023-03-07,100504.0,87737.0
2023-03-08,100504.0,87737.0
2023-03-09,100504.0,87737.0
2023-03-10,102560.0,102560.0
2023-03-13,102560.0,102560.0
2023-03-14,102560.0,102560.0
2023-03-15,102559.0,92968.0
2023-03-16,102559.0,92968.0
2023-03-17,102559.0,92968.0
2023-03-20,102559.0,92968.0
2023-03-21,102559.0,92968.0
2023-03-22,102559.0,92968.0
2023-03-23,102559.0,92968.0
2023-03-24,102559.0,92968.0
2023-03-27,102559.0,92968.0
2023-03-28,102559.0,92968.0
2023-03-29,102559.0,92968.0
2023-03-30,102559.0,92968.0
2023-03-31,102559.0,92968.0
2023-04-03,102559.0,92968.0
2023-04-04,102559.0,92968.0
2023-04-05,102559.0,92968.0
2023-04-06,102559.0,92968.0
2023-04-07,102559.0,92968.0
2023-04-10,102559.0,92968.0
2023-04-11,102559.0,92968.0
2023-04-12,102559.0,92968.0
2023-04-13,102559.0,92968.0
2023-04-14,102559.0,92968.0
2023-04-17,102559.0,92968.0
2023-04-18,102559.0,92968.0
2023-04-19,102559.0,92968.0
2023-04-20,102559.0,92968.0
2023-04-21,102559.0,92968.0
2023-04-24,102559.0,92968.0
2023-04-25,102559.0,92968.0
2023-04-26,102559.0,92968.0
2023-04-27,102558.0,78024.0
2023-04-28,102558.0,78024.0
2023-05-01,102558.0,78024.0
2023-05-02,102558.0,78024.0
2023-05-03,102558.0,78024.0
2023-05-04,102558.0,78024.0
